Distance,Intensity
78.263,65508.1016
78.350,65512.6016
78.436,65504.0977
78.523,65482.2930
78.610,65494.5781
78.696,65502.1914
78.783,65492.9062
78.870,65497.0938
78.956,65496.3516
79.043,65502.4414
79.130,65497.6328
79.216,65503.7461
79.303,65487.3281
79.390,65506.1250
79.477,65505.6133
79.563,65488.1133
79.650,65494.3242
79.737,65501.4180
79.823,65507.1641
79.910,65498.0625
79.997,65493.9688
80.083,65518.5664
80.170,65521.4492
80.257,65518.9883
80.343,65517.5391
80.430,65528.2422
80.517,65505.4922
80.603,65522.3359
80.690,65533.3281
80.777,65525.0703
80.863,65517.4258
80.950,65517.4414
81.037,65526.6172
81.123,65525.4727
81.210,65506.4688
81.297,65512.6055
81.383,65533.3164
81.470,65524.8516
81.557,65520.2500
81.643,65506.8516
81.730,65533.0898
81.817,65524.0586
81.903,65534.5898
81.990,65530.2891
82.077,65515.6250
82.163,65513.6680
82.250,65517.9844
82.337,65533.8711
82.423,65527.4219
82.510,65520.8438
82.597,65517.5078
82.683,65533.6055
82.770,65506.1719
82.857,65523.5273
82.943,65517.5625
83.030,65534.4062
83.117,65513.4492
83.203,65517.5273
83.290,65529.4023
83.377,65532.1250
83.463,65506.8164
83.550,65525.3242
83.637,65534.3398
83.723,65523.1875
83.810,65509.1094
83.897,65527.0352
83.983,65522.0000
84.070,65533.0664
84.157,65534.6055
84.243,65513.3516
84.330,65529.7227
84.417,65535.0000
84.503,65521.1445
84.590,65517.9453
84.677,65531.1680
84.763,65527.2070
84.850,65521.0508
84.937,65531.0938
85.023,65514.0234
85.110,65510.2188
85.197,65534.7695
85.283,65528.0195
85.370,65520.2852
85.457,65507.5039
85.543,65531.9336
85.630,65534.5859
85.717,65517.2383
85.803,65521.7891
85.890,65521.1797
85.977,65504.2148
86.063,65533.9688
86.150,65515.0586
86.237,65511.9102
86.323,65512.1836
86.410,65526.9648
86.497,65526.0234
86.583,65523.0312
86.670,65527.0312
86.757,65523.0352
86.843,65510.0430
86.930,65534.9805
87.017,65526.0000
87.103,65522.0000
87.190,65528.9961
87.277,65519.0469
87.363,65521.0195
87.450,65531.9609
87.537,65531.9570
87.624,65511.0625
87.710,65535.0000
87.797,65512.0273
87.884,65513.2109
87.970,65526.9570
88.057,65513.0469
88.144,65496.2852
88.230,65512.1797
88.317,65527.7305
88.404,65508.6797
88.490,65514.8984
88.577,65513.0352
88.664,65512.8672
88.750,65495.0977
88.837,65496.0625
88.924,65493.0430
89.010,65492.1367
89.097,65504.8789
89.184,65509.9023
89.270,65502.8203
89.357,65509.4336
89.444,65504.6641
89.530,65495.1445
89.617,65494.0000
89.704,65495.8164
89.790,65499.0000
89.877,65494.0664
89.964,65498.2695
90.050,65492.4531
90.137,65500.4648
90.224,65506.4414
90.310,65514.5820
